ID,Name,Origin,Refl_file,Specular,Refl_file_all_config,m_w,m_d,m_sh,SMCg,Clay,Silt,Sand,OM,CaCO3,Fe,CO,L,eps,d,K,a,psi,Slope,Intercept
35,Soil 35,nan,liu02_140.csv,0,liu02_all_config_140.csv,139.5,139.5,12.0,0.0,151,661,188,28,1,1.06,16.3,0.0000,0.00,0.0000,36.19,3.03,230.82,1.1649,0.0146
36,Soil 36,nan,liu02_141.csv,0,liu02_all_config_141.csv,164.7,105.2,12.0,63.8,196,661,143,99.8,1,1.03,58,0.0242,0.55,0.0408,70.18,4.61,284.83,1.2807,0.0135
36,Soil 36,nan,liu02_142.csv,0,liu02_all_config_142.csv,152.8,105.2,12.0,51.1,196,661,143,99.8,1,1.03,58,0.0192,0.46,0.0611,70.18,4.61,284.83,1.2807,0.0135
36,Soil 36,nan,liu02_143.csv,0,liu02_all_config_143.csv,134.8,105.2,12.0,31.8,196,661,143,99.8,1,1.03,58,0.0111,0.42,0.0701,70.18,4.61,284.83,1.2807,0.0135
36,Soil 36,nan,liu02_144.csv,0,liu02_all_config_144.csv,105.2,105.2,12.0,0.0,196,661,143,99.8,1,1.03,58,0.0000,0.00,0.0000,70.18,4.61,284.83,1.2807,0.0135
37,Soil 37,Qingdao Field(China),liu02_145.csv,0,liu02_all_config_145.csv,197.3,147.5,12.0,36.8,230,350,421,8.8,11,2.39,5.1,0.0338,0.49,0.0276,40.48,6.80,186.96,1.1143,0.0171
37,Soil 37,Qingdao Field(China),liu02_146.csv,0,liu02_all_config_146.csv,181,147.5,12.0,24.7,230,350,421,8.8,11,2.39,5.1,0.0316,0.51,0.0430,40.48,6.80,186.96,1.1143,0.0171
37,Soil 37,Qingdao Field(China),liu02_147.csv,0,liu02_all_config_147.csv,162.5,147.5,12.0,11.1,230,350,421,8.8,11,2.39,5.1,0.0112,0.44,0.0767,40.48,6.80,186.96,1.1143,0.0171
37,Soil 37,Qingdao Field(China),liu02_148.csv,0,liu02_all_config_148.csv,147.5,147.5,12.0,0.0,230,350,421,8.8,11,2.39,5.1,0.0000,0.00,0.0000,40.48,6.80,186.96,1.1143,0.0171
38,Soil 38,HeNan(China),liu02_149.csv,1,liu02_all_config_149.csv,183,135.4,12.0,38.6,252,652,96,15.8,28,3.18,9.2,0.0035,0.82,0.0000,31.99,1636355.75,5707.40,1.0856,0.0127
38,Soil 38,HeNan(China),liu02_150.csv,0,liu02_all_config_150.csv,166.5,135.4,12.0,25.2,252,652,96,15.8,28,3.18,9.2,0.0035,1.00,0.0665,31.99,1636355.75,5707.40,1.0856,0.0127
38,Soil 38,HeNan(China),liu02_151.csv,0,liu02_all_config_151.csv,147.5,135.4,12.0,9.8,252,652,96,15.8,28,3.18,9.2,0.0063,0.40,0.1754,31.99,1636355.75,5707.40,1.0856,0.0127
38,Soil 38,HeNan(China),liu02_152.csv,0,liu02_all_config_152.csv,135.4,135.4,12.0,0.0,252,652,96,15.8,28,3.18,9.2,0.0000,0.00,0.0000,31.99,1636355.75,5707.40,1.0856,0.0127
39,Soil 39,ShanXi(China),liu02_153.csv,0,liu02_all_config_153.csv,183.3,148,12.0,26.0,172,702,126,11.7,139,2.9,6.8,0.0338,0.46,0.0724,26.00,12.15,1425.12,1.0570,0.0138
39,Soil 39,ShanXi(China),liu02_154.csv,0,liu02_all_config_154.csv,169.9,148,12.0,16.1,172,702,126,11.7,139,2.9,6.8,0.0022,0.93,0.0776,26.00,12.15,1425.12,1.0570,0.0138
39,Soil 39,ShanXi(China),liu02_155.csv,0,liu02_all_config_155.csv,153.2,148,12.0,3.8,172,702,126,11.7,139,2.9,6.8,0.0059,0.09,0.0040,26.00,12.15,1425.12,1.0570,0.0138
39,Soil 39,ShanXi(China),liu02_156.csv,0,liu02_all_config_156.csv,148,148,12.0,0.0,172,702,126,11.7,139,2.9,6.8,0.0000,0.00,0.0000,26.00,12.15,1425.12,1.0570,0.0138
40,Soil 40,JiangSu(China),liu02_157.csv,0,liu02_all_config_157.csv,167.3,113.2,12.0,53.5,87,464,450,33.2,75,2.29,19.3,0.0104,0.99,0.0007,47.80,594.90,1682.18,1.0768,0.0047
40,Soil 40,JiangSu(China),liu02_158.csv,0,liu02_all_config_158.csv,155.8,113.2,12.0,42.1,87,464,450,33.2,75,2.29,19.3,0.0458,0.48,0.0869,47.80,594.90,1682.18,1.0768,0.0047
40,Soil 40,JiangSu(China),liu02_159.csv,0,liu02_all_config_159.csv,139.7,113.2,12.0,26.2,87,464,450,33.2,75,2.29,19.3,0.0039,0.99,0.1251,47.80,594.90,1682.18,1.0768,0.0047
40,Soil 40,JiangSu(China),liu02_160.csv,0,liu02_all_config_160.csv,113.2,113.2,12.0,0.0,87,464,450,33.2,75,2.29,19.3,0.0000,0.00,0.0000,47.80,594.90,1682.18,1.0768,0.0047
41,Soil 41,QingHai(China),liu02_161.csv,1,liu02_all_config_161.csv,183.9,148.5,12.0,25.9,406,556,38,4.6,193,3.59,2.7,0.0029,1.00,0.0277,21.70,47.53,5170.38,1.0238,0.0081
41,Soil 41,QingHai(China),liu02_162.csv,0,liu02_all_config_162.csv,172.4,148.5,12.0,17.5,406,556,38,4.6,193,3.59,2.7,0.0031,1.00,0.0876,21.70,47.53,5170.38,1.0238,0.0081
41,Soil 41,QingHai(China),liu02_163.csv,0,liu02_all_config_163.csv,157.4,148.5,12.0,6.5,406,556,38,4.6,193,3.59,2.7,0.0066,0.09,0.0475,21.70,47.53,5170.38,1.0238,0.0081
41,Soil 41,QingHai(China),liu02_164.csv,0,liu02_all_config_164.csv,148.5,148.5,12.0,0.0,406,556,38,4.6,193,3.59,2.7,0.0000,0.00,0.0000,21.70,47.53,5170.38,1.0238,0.0081
42,Soil 42,UK9,liu02_165.csv,1,liu02_all_config_165.csv,198.4,145.7,12.0,39.4,465,335,200,28.9,2,4.01,16.8,0.0215,0.38,0.0016,40.25,20.57,847.79,1.1167,0.0009
42,Soil 42,UK9,liu02_166.csv,1,liu02_all_config_166.csv,187.4,145.7,12.0,31.2,465,335,200,28.9,2,4.01,16.8,0.0075,0.67,0.0000,40.25,20.57,847.79,1.1167,0.0009
42,Soil 42,UK9,liu02_167.csv,0,liu02_all_config_167.csv,169.4,145.7,12.0,17.7,465,335,200,28.9,2,4.01,16.8,0.0033,1.00,0.0169,40.25,20.57,847.79,1.1167,0.0009
42,Soil 42,UK9,liu02_168.csv,0,liu02_all_config_168.csv,145.7,145.7,12.0,0.0,465,335,200,28.9,2,4.01,16.8,0.0000,0.00,0.0000,40.25,20.57,847.79,1.1167,0.0009
43,Soil 43,nan,liu02_169.csv,1,liu02_all_config_169.csv,167.4,128.8,12.0,33.0,137,759,104,12.6,1,1.09,7.3,0.0233,0.47,0.0460,28.85,1174.84,1674.99,1.0923,0.0219
43,Soil 43,nan,liu02_170.csv,0,liu02_all_config_170.csv,157.6,128.8,12.0,24.7,137,759,104,12.6,1,1.09,7.3,0.0269,0.47,0.0656,28.85,1174.84,1674.99,1.0923,0.0219
43,Soil 43,nan,liu02_171.csv,0,liu02_all_config_171.csv,143.6,128.8,12.0,12.7,137,759,104,12.6,1,1.09,7.3,0.0100,0.41,0.0948,28.85,1174.84,1674.99,1.0923,0.0219
43,Soil 43,nan,liu02_172.csv,0,liu02_all_config_172.csv,128.8,128.8,12.0,0.0,137,759,104,12.6,1,1.09,7.3,0.0000,0.00,0.0000,28.85,1174.84,1674.99,1.0923,0.0219
44,Soil 44,LAC6,liu02_173.csv,0,liu02_all_config_173.csv,162.6,114.8,12.0,46.5,194,711,95,54.2,1,1.02,31.5,0.0222,0.58,0.0756,51.15,3.87,230.82,1.1820,0.0271
44,Soil 44,LAC6,liu02_174.csv,0,liu02_all_config_174.csv,151.4,114.8,12.0,35.6,194,711,95,54.2,1,1.02,31.5,0.0202,0.54,0.0859,51.15,3.87,230.82,1.1820,0.0271
44,Soil 44,LAC6,liu02_175.csv,0,liu02_all_config_175.csv,135.1,114.8,12.0,19.7,194,711,95,54.2,1,1.02,31.5,0.0076,0.48,0.0846,51.15,3.87,230.82,1.1820,0.0271
44,Soil 44,LAC6,liu02_176.csv,0,liu02_all_config_176.csv,114.8,114.8,12.0,0.0,194,711,95,54.2,1,1.02,31.5,0.0000,0.00,0.0000,51.15,3.87,230.82,1.1820,0.0271
45,Soil 45,UK10,liu02_177.csv,0,liu02_all_config_177.csv,197.4,153.2,12.0,31.3,60,85,855,8.6,1,2.07,5,0.0424,0.56,0.0196,34.43,2.97,127.56,1.1438,0.0135
45,Soil 45,UK10,liu02_178.csv,0,liu02_all_config_178.csv,187.7,153.2,12.0,24.4,60,85,855,8.6,1,2.07,5,0.0316,0.53,0.0362,34.43,2.97,127.56,1.1438,0.0135
45,Soil 45,UK10,liu02_179.csv,0,liu02_all_config_179.csv,170.4,153.2,12.0,12.2,60,85,855,8.6,1,2.07,5,0.0039,0.92,0.0040,34.43,2.97,127.56,1.1438,0.0135
45,Soil 45,UK10,liu02_180.csv,0,liu02_all_config_180.csv,153.2,153.2,12.0,0.0,60,85,855,8.6,1,2.07,5,0.0000,0.00,0.0000,34.43,2.97,127.56,1.1438,0.0135
46,Soil 46,UK7,liu02_181.csv,1,liu02_all_config_181.csv,193.3,147.2,12.0,34.1,140,159,701,16.2,1,1.99,9.4,0.0321,0.49,0.0159,34.10,53.35,1084.40,1.1539,-0.0008
46,Soil 46,UK7,liu02_182.csv,0,liu02_all_config_182.csv,182.7,147.2,12.0,26.3,140,159,701,16.2,1,1.99,9.4,0.0048,0.99,0.0237,34.10,53.35,1084.40,1.1539,-0.0008
46,Soil 46,UK7,liu02_183.csv,0,liu02_all_config_183.csv,165.6,147.2,12.0,13.6,140,159,701,16.2,1,1.99,9.4,0.0033,1.00,0.0042,34.10,53.35,1084.40,1.1539,-0.0008
46,Soil 46,UK7,liu02_184.csv,0,liu02_all_config_184.csv,147.2,147.2,12.0,0.0,140,159,701,16.2,1,1.99,9.4,0.0000,0.00,0.0000,34.10,53.35,1084.40,1.1539,-0.0008
47,Soil 47,Valire Bol3(Bolivia),liu02_185.csv,0,liu02_all_config_185.csv,198.8,158.6,12.0,27.4,16,46,938,3.3,1,3.12,1.9,0.0066,1.00,0.0552,30.14,1.26,180.58,1.0781,0.0055
47,Soil 47,Valire Bol3(Bolivia),liu02_186.csv,0,liu02_all_config_186.csv,188.2,158.6,12.0,20.2,16,46,938,3.3,1,3.12,1.9,0.0016,0.96,0.0496,30.14,1.26,180.58,1.0781,0.0055
47,Soil 47,Valire Bol3(Bolivia),liu02_187.csv,0,liu02_all_config_187.csv,171.5,158.6,12.0,8.8,16,46,938,3.3,1,3.12,1.9,0.0130,0.31,0.1441,30.14,1.26,180.58,1.0781,0.0055
47,Soil 47,Valire Bol3(Bolivia),liu02_188.csv,0,liu02_all_config_188.csv,158.6,158.6,12.0,0.0,16,46,938,3.3,1,3.12,1.9,0.0000,0.00,0.0000,30.14,1.26,180.58,1.0781,0.0055
48,Soil 48,nan,liu02_189.csv,0,liu02_all_config_189.csv,210.2,178.8,12.0,18.8,9,5,986,0.3,5,0.96,0.2,0.0038,0.92,0.0031,15.15,110.90,5060.87,1.0500,0.0094
48,Soil 48,nan,liu02_190.csv,0,liu02_all_config_190.csv,197.9,178.8,12.0,11.5,9,5,986,0.3,5,0.96,0.2,0.0173,0.40,0.0495,15.15,110.90,5060.87,1.0500,0.0094
48,Soil 48,nan,liu02_191.csv,0,liu02_all_config_191.csv,181.6,178.8,12.0,1.7,9,5,986,0.3,5,0.96,0.2,0.0037,0.14,0.0317,15.15,110.90,5060.87,1.0500,0.0094
