ID_Parcela,Treatment,Nitrogen,wave,RFL
10A,CAN+DMPSA,N2,692,0.05644039
10A,CAN+DMPSA,N2,693,0.05814493
10A,CAN+DMPSA,N2,694,0.05984948
10A,CAN+DMPSA,N2,695,0.06155402
10A,CAN+DMPSA,N2,696,0.06325857
10A,CAN+DMPSA,N2,697,0.06496311
10A,CAN+DMPSA,N2,698,0.06674495
10A,CAN+DMPSA,N2,699,0.06941587
10A,CAN+DMPSA,N2,700,0.07208679
10A,CAN+DMPSA,N2,701,0.0747577
10A,CAN+DMPSA,N2,702,0.07742862
10A,CAN+DMPSA,N2,703,0.08009953
10A,CAN+DMPSA,N2,704,0.08277045
10A,CAN+DMPSA,N2,705,0.08544136
10A,CAN+DMPSA,N2,706,0.08811228
10A,CAN+DMPSA,N2,707,0.09078319
10A,CAN+DMPSA,N2,708,0.09413547
10A,CAN+DMPSA,N2,709,0.09769129
10A,CAN+DMPSA,N2,710,0.1012471
10A,CAN+DMPSA,N2,711,0.10480291
10A,CAN+DMPSA,N2,712,0.10835873
10A,CAN+DMPSA,N2,713,0.11191454
10A,CAN+DMPSA,N2,714,0.11547036
10A,CAN+DMPSA,N2,715,0.11902617
10A,CAN+DMPSA,N2,716,0.12258199
10A,CAN+DMPSA,N2,717,0.12636271
10A,CAN+DMPSA,N2,718,0.13040747
10A,CAN+DMPSA,N2,719,0.13445222
10A,CAN+DMPSA,N2,720,0.13849698
10A,CAN+DMPSA,N2,721,0.14254173
10A,CAN+DMPSA,N2,722,0.14658649
10A,CAN+DMPSA,N2,723,0.15063124
10A,CAN+DMPSA,N2,724,0.154676
10A,CAN+DMPSA,N2,725,0.15872075
10A,CAN+DMPSA,N2,726,0.1627869
10A,CAN+DMPSA,N2,727,0.16697427
10A,CAN+DMPSA,N2,728,0.17116164
10A,CAN+DMPSA,N2,729,0.17534901
10A,CAN+DMPSA,N2,730,0.17953638
10A,CAN+DMPSA,N2,731,0.18372375
10A,CAN+DMPSA,N2,732,0.18791112
10A,CAN+DMPSA,N2,733,0.1920985
10A,CAN+DMPSA,N2,734,0.19628587
10A,CAN+DMPSA,N2,735,0.20047324
10A,CAN+DMPSA,N2,736,0.20444113
10A,CAN+DMPSA,N2,737,0.20836723
10A,CAN+DMPSA,N2,738,0.21229332
10A,CAN+DMPSA,N2,739,0.21621941
10A,CAN+DMPSA,N2,740,0.2201455
10A,CAN+DMPSA,N2,741,0.2240716
10A,CAN+DMPSA,N2,742,0.22799769
10A,CAN+DMPSA,N2,743,0.23192378
10A,CAN+DMPSA,N2,744,0.23584987
10A,CAN+DMPSA,N2,745,0.23935909
10A,CAN+DMPSA,N2,746,0.24249864
10A,CAN+DMPSA,N2,747,0.24563819
10A,CAN+DMPSA,N2,748,0.24877773
10A,CAN+DMPSA,N2,749,0.25191728
10A,CAN+DMPSA,N2,750,0.25505682
10A,CAN+DMPSA,N2,751,0.25819637
10A,CAN+DMPSA,N2,752,0.26133591
10A,CAN+DMPSA,N2,753,0.26447546
10A,CAN+DMPSA,N2,754,0.2671644
10A,CAN+DMPSA,N2,755,0.26825576
10A,CAN+DMPSA,N2,756,0.26934711
10A,CAN+DMPSA,N2,757,0.27043847
10A,CAN+DMPSA,N2,758,0.27152983
10A,CAN+DMPSA,N2,759,0.27262118
10A,CAN+DMPSA,N2,760,0.27371254
10A,CAN+DMPSA,N2,761,0.2748039
10A,CAN+DMPSA,N2,762,0.27589526
10A,CAN+DMPSA,N2,763,0.27698661
10A,CAN+DMPSA,N2,764,0.27807797
10A,CAN+DMPSA,N2,765,0.27916933
10A,CAN+DMPSA,N2,766,0.28026068
10A,CAN+DMPSA,N2,767,0.28135204
10A,CAN+DMPSA,N2,768,0.2824434
10A,CAN+DMPSA,N2,769,0.28353476
10A,CAN+DMPSA,N2,770,0.28462611
10A,CAN+DMPSA,N2,771,0.28571747
10A,CAN+DMPSA,N2,772,0.28680883
10A,CAN+DMPSA,N2,773,0.28793942
10A,CAN+DMPSA,N2,774,0.28909616
10A,CAN+DMPSA,N2,775,0.2902529
10A,CAN+DMPSA,N2,776,0.29140965
10A,CAN+DMPSA,N2,777,0.29256639
10A,CAN+DMPSA,N2,778,0.29372314
10A,CAN+DMPSA,N2,779,0.29487988
10A,CAN+DMPSA,N2,780,0.29603662
10A,CAN+DMPSA,N2,781,0.29719337
10A,CAN+DMPSA,N2,782,0.29819868
10A,CAN+DMPSA,N2,783,0.29883327
10A,CAN+DMPSA,N2,784,0.29946786
10A,CAN+DMPSA,N2,785,0.30010244
10A,CAN+DMPSA,N2,786,0.30073703
10A,CAN+DMPSA,N2,787,0.30137162
10A,CAN+DMPSA,N2,788,0.3020062
10A,CAN+DMPSA,N2,789,0.30264079
10A,CAN+DMPSA,N2,790,0.30327538
10A,CAN+DMPSA,N2,791,0.30390996
10A,CAN+DMPSA,N2,792,0.30432942
10A,CAN+DMPSA,N2,793,0.30474448
10A,CAN+DMPSA,N2,794,0.30515955
10A,CAN+DMPSA,N2,795,0.30557461
10A,CAN+DMPSA,N2,796,0.30598968
10A,CAN+DMPSA,N2,797,0.30640474
10A,CAN+DMPSA,N2,798,0.30681981
10A,CAN+DMPSA,N2,799,0.30723487
10A,CAN+DMPSA,N2,800,0.30764994
10A,CAN+DMPSA,N2,801,0.30798163
10A,CAN+DMPSA,N2,802,0.30827225
10A,CAN+DMPSA,N2,803,0.30856288
10A,CAN+DMPSA,N2,804,0.3088535
10A,CAN+DMPSA,N2,805,0.30914413
10A,CAN+DMPSA,N2,806,0.30943475
10A,CAN+DMPSA,N2,807,0.30972538
10A,CAN+DMPSA,N2,808,0.310016
10A,CAN+DMPSA,N2,809,0.31030663
10A,CAN+DMPSA,N2,810,0.31038273
10A,CAN+DMPSA,N2,811,0.31007748
10A,CAN+DMPSA,N2,812,0.30977222
10A,CAN+DMPSA,N2,813,0.30946697
10A,CAN+DMPSA,N2,814,0.30916172
10A,CAN+DMPSA,N2,815,0.30885647
10A,CAN+DMPSA,N2,816,0.30855122
10A,CAN+DMPSA,N2,817,0.30824596
10A,CAN+DMPSA,N2,818,0.30794071
10A,CAN+DMPSA,N2,819,0.30770307
10A,CAN+DMPSA,N2,820,0.30874956
10A,CAN+DMPSA,N2,821,0.30979604
10A,CAN+DMPSA,N2,822,0.31084253
10A,CAN+DMPSA,N2,823,0.31188902
10A,CAN+DMPSA,N2,824,0.3129355
10A,CAN+DMPSA,N2,825,0.31398199
10A,CAN+DMPSA,N2,826,0.31502848
10A,CAN+DMPSA,N2,827,0.31607496
10A,CAN+DMPSA,N2,828,0.31712145
10A,CAN+DMPSA,N2,829,0.31858759
10A,CAN+DMPSA,N2,830,0.32020117
10A,CAN+DMPSA,N2,831,0.32181474
10A,CAN+DMPSA,N2,832,0.32342832
10A,CAN+DMPSA,N2,833,0.3250419
10A,CAN+DMPSA,N2,834,0.32665547
10A,CAN+DMPSA,N2,835,0.32826905
10A,CAN+DMPSA,N2,836,0.32988262
10A,CAN+DMPSA,N2,837,0.3314962
10A,CAN+DMPSA,N2,838,0.33321244
10A,CAN+DMPSA,N2,839,0.33506476
10A,CAN+DMPSA,N2,840,0.33691709
10A,CAN+DMPSA,N2,841,0.33876941
10A,CAN+DMPSA,N2,842,0.34062173
10A,CAN+DMPSA,N2,843,0.34247405
10A,CAN+DMPSA,N2,844,0.34432637
10A,CAN+DMPSA,N2,845,0.3461787
10A,CAN+DMPSA,N2,846,0.34803102
10A,CAN+DMPSA,N2,847,0.34967444
10A,CAN+DMPSA,N2,848,0.34978629
10A,CAN+DMPSA,N2,849,0.34989814
10A,CAN+DMPSA,N2,850,0.35000999
10A,CAN+DMPSA,N2,851,0.35012184
10A,CAN+DMPSA,N2,852,0.35023369
10A,CAN+DMPSA,N2,853,0.35034554
10A,CAN+DMPSA,N2,854,0.35045739
10A,CAN+DMPSA,N2,855,0.35056924
10A,CAN+DMPSA,N2,856,0.35068109
10A,CAN+DMPSA,N2,857,0.35079294
10A,CAN+DMPSA,N2,858,0.35090479
10A,CAN+DMPSA,N2,859,0.35101664
10A,CAN+DMPSA,N2,860,0.35112849
10A,CAN+DMPSA,N2,861,0.35124034
10A,CAN+DMPSA,N2,862,0.35135219
10A,CAN+DMPSA,N2,863,0.35146404
10A,CAN+DMPSA,N2,864,0.35157589
10A,CAN+DMPSA,N2,865,0.35168774
10A,CAN+DMPSA,N2,866,0.35179959
10A,CAN+DMPSA,N2,867,0.35191144
10A,CAN+DMPSA,N2,868,0.35202329
10A,CAN+DMPSA,N2,869,0.35213514
10A,CAN+DMPSA,N2,870,0.35224699
10A,CAN+DMPSA,N2,871,0.35235884
10A,CAN+DMPSA,N2,872,0.35247069
10A,CAN+DMPSA,N2,873,0.35258254
10A,CAN+DMPSA,N2,874,0.35269439
10A,CAN+DMPSA,N2,875,0.35280624
10A,CAN+DMPSA,N2,876,0.35291809
10A,CAN+DMPSA,N2,877,0.35302995
10A,CAN+DMPSA,N2,878,0.3531418
10A,CAN+DMPSA,N2,879,0.35325365
10A,CAN+DMPSA,N2,880,0.3533655
10A,CAN+DMPSA,N2,881,0.35347735
10A,CAN+DMPSA,N2,882,0.3535892
10A,CAN+DMPSA,N2,883,0.35370105
10A,CAN+DMPSA,N2,884,0.3538129
10A,CAN+DMPSA,N2,885,0.35392475
10A,CAN+DMPSA,N2,886,0.3540366
10A,CAN+DMPSA,N2,887,0.35414845
10A,CAN+DMPSA,N2,888,0.3542603
10A,CAN+DMPSA,N2,889,0.35437215
10A,CAN+DMPSA,N2,890,0.354484
10A,CAN+DMPSA,N2,891,0.35459585
10A,CAN+DMPSA,N2,892,0.3547077
10A,CAN+DMPSA,N2,893,0.35481955
10A,CAN+DMPSA,N2,894,0.3549314
10A,CAN+DMPSA,N2,895,0.35504325
10A,CAN+DMPSA,N2,896,0.3551551
10A,CAN+DMPSA,N2,897,0.35526695
10A,CAN+DMPSA,N2,898,0.3553788
10A,CAN+DMPSA,N2,899,0.35549065
10A,CAN+DMPSA,N2,900,0.3556025
10A,CAN+DMPSA,N2,901,0.35571435
10A,CAN+DMPSA,N2,902,0.3558262
10A,CAN+DMPSA,N2,903,0.35593805
10A,CAN+DMPSA,N2,904,0.3560499
10A,CAN+DMPSA,N2,905,0.35616175
10A,CAN+DMPSA,N2,906,0.3562736
10A,CAN+DMPSA,N2,907,0.35638545
10A,CAN+DMPSA,N2,908,0.3564973
10A,CAN+DMPSA,N2,909,0.35660915
10A,CAN+DMPSA,N2,910,0.356721
10A,CAN+DMPSA,N2,911,0.35683285
10A,CAN+DMPSA,N2,912,0.3569447
10A,CAN+DMPSA,N2,913,0.35705655
10A,CAN+DMPSA,N2,914,0.3571684
10A,CAN+DMPSA,N2,915,0.35728025
10A,CAN+DMPSA,N2,916,0.3573921
10A,CAN+DMPSA,N2,917,0.35750395
10A,CAN+DMPSA,N2,918,0.3576158
10A,CAN+DMPSA,N2,919,0.35772765
10A,CAN+DMPSA,N2,920,0.3578395
10A,CAN+DMPSA,N2,921,0.35795135
10A,CAN+DMPSA,N2,922,0.3580632
10A,CAN+DMPSA,N2,923,0.35817505
10A,CAN+DMPSA,N2,924,0.35828691
10A,CAN+DMPSA,N2,925,0.35839876
10A,CAN+DMPSA,N2,926,0.35851061
10A,CAN+DMPSA,N2,927,0.35862246
10A,CAN+DMPSA,N2,928,0.35873431
10A,CAN+DMPSA,N2,929,0.35884616
10A,CAN+DMPSA,N2,930,0.35895801
10A,CAN+DMPSA,N2,931,0.35906986
10A,CAN+DMPSA,N2,932,0.35918171
10A,CAN+DMPSA,N2,933,0.35929356
10A,CAN+DMPSA,N2,934,0.35940541
10A,CAN+DMPSA,N2,935,0.35951726
