"TreeID","GNSS_Heigh","Species","X2019_DOYs","X2020_DOYs","X2021_DOYs","ID","cells","B1","B2","B3","B4","B5","B6","B7","B8","B8A","B9","B11","B12","coords.x1","coords.x2","coords.x3","Date","DOY","NDVI","NDVI_705","RDVI","SR","MSR","OSAVI","MSAVI","MTVI1","MTVI2","MCARI","MCARI1","MCARI2","EVI","NDVI_green","NDVI_swir","REIP_beetle","TC_greeness","TC_wetness","GM1","GM2","TCARI","T/O","TVI","SIPI","ARI","GNDVI","CIg","ARVI","AVI","ARV2","NBR","NBR-2","NDRE","MNDVI","RedEg1","RedEg2","WDRVI","NDWI","NDWI2","LWCI","CIre","CIgreen","IRECI","S2REP","RVI","PVI","REIP1","REIP2","G","R","PSSRa"
"08",198.305,"Fraxinus angustifolia","83,199,254,290","131,207,295","-",12,38313,0.0228,0.0266,0.0418,0.0204,0.0651,0.253,0.329,0.3492,0.3492,0.3308,0.15,0.0646,4831548.46935269,2864406.14589714,198.304849878129,2020-08-25,238,0.88961038961039,0.52280701754386,0.54083629325693,17.1176470588235,3.13734782908369,0.720181268882175,0.597127312070506,0.506856,0.632462451909385,0.127774705882353,0.63357,0.632462451909385,0.646175615124597,0.344051446945338,0.399038461538462,-1942.49516820257,0.24013026,0.00167263999999999,6.05263157894737,3.8863287250384,0.0894873529411765,0.124256707037207,14.812,0.883116883116883,8.56246187315797,0.78618925831202,7.35406698564593,0.00115612935028125,0.6412,0.860844155844156,0.687771870468826,0.397949673811743,0.685734974656046,0.399038461538462,3.19117647058824,0.52280701754386,0.262472885032538,0.399038461538462,0.687771870468826,Inf,4.05376344086022,7.35406698564593,1.19932104454685,747.256519425226,17.1176470588235,-0.751503726505089,249.089941458222,249.089941458222,2.04901960784314,3.19117647058824,17.1176470588235
"13",197.919,"Tilia cordata","83,199,254,290","131,207,295","-",13,37302,0.0226,0.0271,0.0383,0.0226,0.0622,0.229,0.3034,0.3274,0.3274,0.3348,0.1693,0.0721,4831608.52157649,2864476.57279532,197.919375591586,2020-08-25,238,0.870857142857143,0.466981132075472,0.515206033682504,14.4867256637168,2.80614314808532,0.693270588235294,0.553555591621812,0.463404,0.571972154901635,0.0958320353982301,0.579255,0.571972154901635,0.604881921016075,0.257799671592775,0.318300785182203,-1994.28584070013,0.22441675,-0.02280132,5.97911227154047,3.68167202572347,0.0793332743362832,0.114433347790254,13.012,0.870857142857143,10.0324901564061,0.790538692917692,7.54830287206266,0.000886356532276366,0.647,0.838902857142857,0.639048811013767,0.402651201325601,0.680698151950719,0.318300785182203,2.75221238938053,0.466981132075472,0.183230936031803,0.318300785182203,0.639048811013767,Inf,3.87781350482315,7.54830287206266,1.03381350482315,748.240407673861,14.4867256637168,-0.773065691808868,235.512589928058,235.512589928058,1.69469026548673,2.75221238938053,14.4867256637168
"14",200.707,"Tilia cordata","83,199,254,290","131,207,295","-",14,37302,0.0226,0.0271,0.0383,0.0226,0.0622,0.229,0.3034,0.3274,0.3274,0.3348,0.1693,0.0721,4831622.10586076,2864461.80378299,200.707065043723,2020-08-25,238,0.870857142857143,0.466981132075472,0.515206033682504,14.4867256637168,2.80614314808532,0.693270588235294,0.553555591621812,0.463404,0.571972154901635,0.0958320353982301,0.579255,0.571972154901635,0.604881921016075,0.257799671592775,0.318300785182203,-1994.28584070013,0.22441675,-0.02280132,5.97911227154047,3.68167202572347,0.0793332743362832,0.114433347790254,13.012,0.870857142857143,10.0324901564061,0.790538692917692,7.54830287206266,0.000886356532276366,0.647,0.838902857142857,0.639048811013767,0.402651201325601,0.680698151950719,0.318300785182203,2.75221238938053,0.466981132075472,0.183230936031803,0.318300785182203,0.639048811013767,Inf,3.87781350482315,7.54830287206266,1.03381350482315,748.240407673861,14.4867256637168,-0.773065691808868,235.512589928058,235.512589928058,1.69469026548673,2.75221238938053,14.4867256637168
"15",197.77,"Quercus robur","83,199,254,290","131,207,295","-",15,29603,0.0237,0.0251,0.0346,0.0191,0.0518,0.2206,0.2898,0.3204,0.3204,0.3352,0.1447,0.0569,4833103.39560474,2864922.52660271,197.769752615367,2020-08-25,238,0.887481590574374,0.461212976022567,0.517105601632838,16.7748691099476,3.09571350437841,0.699715715715716,0.554964207387173,0.458052,0.584116701078168,0.0793543455497382,0.572565,0.584116701078168,0.604170844194907,0.288640595903166,0.377768221887766,-2043.72434432885,0.22225686,-0.00292001999999998,6.3757225433526,4.25868725868726,0.0701117277486911,0.100200304457899,12.71,0.873932253313697,9.59671479902694,0.805070422535211,8.26011560693642,0.00121795512982696,0.6513,0.858353460972018,0.698383249403658,0.435515873015873,0.721655024180548,0.377768221887766,2.71204188481675,0.461212976022567,0.253030895580759,0.377768221887766,0.698383249403658,Inf,4.59459459459459,8.26011560693642,1.15282664092664,747.368187203791,16.7748691099476,-0.779989258649531,273.886255924171,273.886255924171,1.81151832460733,2.71204188481675,16.7748691099476
"16",198.723,"Quercus robur","83,199,254,290","131,207,295","-",16,28926,0.0224,0.0243,0.0354,0.0193,0.0536,0.225,0.2839,0.3164,0.3164,0.3254,0.1463,0.0563,4833091.37322355,2864967.30701759,198.722623504024,2020-08-25,238,0.885016383675901,0.470507544581619,0.512775162805406,16.3937823834197,3.04892360799999,0.695251159975792,0.54749674602192,0.45294,0.577171548658276,0.0851490155440414,0.566175,0.577171548658276,0.594223768950758,0.294332723948812,0.367624810892587,-2034.52218716837,0.21906926,-0.00504332,6.35593220338983,4.19776119402985,0.0725729533678756,0.104383793290474,12.986,0.875781948168007,9.59187115271102,0.79874928936896,7.93785310734463,0.00102664821675668,0.6315,0.855469168900804,0.697880332707271,0.444225074037512,0.71027027027027,0.367624810892587,2.77720207253886,0.470507544581619,0.242245779348253,0.367624810892587,0.697880332707271,Inf,4.29664179104478,7.93785310734463,1.1107276119403,745.056884480747,16.3937823834197,-0.783945582558481,283.539964994166,283.539964994166,1.83419689119171,2.77720207253886,16.3937823834197
"17",196.778,"Carpinus betulus","83,199,254,290","131,207,295","-",17,33232,0.0242,0.0252,0.0368,0.0188,0.0624,0.262,0.3541,0.3745,0.3745,0.3753,0.1726,0.0708,4831328.98433338,2864717.88430872,196.778051571704,2020-08-25,238,0.904398677854055,0.536945812807882,0.567181284698894,19.9202127659574,3.46320655649696,0.745729260798843,0.643523269570288,0.540288,0.676183260657024,0.12772085106383,0.67536,0.676183260657024,0.684934144650697,0.323741007194245,0.36903673917017,-2124.68683398543,0.26093499,-0.01034034,7.1195652173913,4.19871794871795,0.0798178723404255,0.107033311600141,15.312,0.890668700737351,11.1482720178372,0.821055190858254,9.17663043478261,0.00112154773587551,0.7318,0.878146453089245,0.682012126656187,0.418241577649959,0.714351110093843,0.36903673917017,3.31914893617021,0.536945812807882,0.331555555555556,0.36903673917017,0.682012126656187,Inf,4.67467948717949,9.17663043478261,1.40783012820513,749.501503006012,19.9202127659574,-0.726479977780979,252.288326653307,252.288326653307,1.95744680851064,3.31914893617021,19.9202127659574
"18",207.318,"Carpinus betulus","83,199,254,290","131,207,295","-",18,33909,0.0237,0.0252,0.0392,0.0194,0.0662,0.2859,0.3774,0.4086,0.4086,0.3579,0.1834,0.0775,4831353.3908903,2864662.01222853,207.31839929498,2020-08-25,238,0.909345794392523,0.546728971962617,0.594909558821818,21.0618556701031,3.58931973936259,0.767809523809524,0.691450374165646,0.591336,0.722376617497491,0.141272164948454,0.73917,0.722376617497491,0.728293413173653,0.337883959044369,0.380405405405405,-2035.1826083187,0.28441994,-0.00879981999999999,7.29336734693878,4.31873111782477,0.085119587628866,0.110860291503733,16.782,0.899299065420561,10.4044639003638,0.824921840107191,9.4234693877551,0.000934173233345829,0.6964,0.883934579439252,0.681135568813001,0.405902644691453,0.721145745577085,0.380405405405405,3.41237113402062,0.546728971962617,0.356123464985065,0.380405405405405,0.681135568813001,Inf,4.70090634441088,9.4234693877551,1.54610574018127,748.031406463359,21.0618556701031,-0.692752316457179,265.873918980428,265.873918980428,2.02061855670103,3.41237113402062,21.0618556701031
"01",196.096,"Fraxinus angustifolia","83,199,254,290","131,207,295","-",1,27174,0.0133,0.021,0.0331,0.0179,0.0541,0.2324,0.3117,0.328,0.328,0.3099,0.1392,0.0582,4831861.23510059,2865074.86813689,196.09565085176,2020-08-28,241,0.896501879155826,0.502777777777778,0.527262015250693,18.3240223463687,3.28065676577423,0.711041707847401,0.572297047338127,0.470256,0.605231675563267,0.0967150837988827,0.58782,0.605231675563268,0.606659363017451,0.298039215686275,0.404109589041096,-2637.98253345085,0.22691813,0.00167765999999998,7.02114803625378,4.29574861367837,0.07051843575419,0.0991762297146768,13.478,0.909800520381613,11.7271920076394,0.816671282193298,8.90936555891239,0.000618004651070067,0.6019,0.868907198612316,0.698601760745728,0.410334346504559,0.716828055482858,0.404109589041096,3.02234636871508,0.502777777777778,0.293885601577909,0.404109589041096,0.698601760745728,Inf,4.76155268022181,8.90936555891239,1.26209094269871,748.809590577678,18.3240223463687,-0.772472243222525,263.767526640494,263.767526640494,1.84916201117318,3.02234636871508,18.3240223463687
"02",195.577,"Fraxinus angustifolia","83,199,254,290","131,207,295","-",2,26498,0.0128,0.0191,0.0309,0.0165,0.051,0.2141,0.2928,0.3138,0.3138,0.3072,0.1322,0.054,4831858.18870665,2865101.16611861,195.577328935708,2020-08-28,241,0.900090826521344,0.511111111111111,0.517297789213134,19.0181818181818,3.36098404241311,0.703381603100143,0.553664573731297,0.450576,0.590888083991495,0.0942109090909091,0.56322,0.590888083991495,0.585443661139774,0.30379746835443,0.407174887892377,-3068.0791985131,0.21756065,0.00255994999999999,6.92880258899676,4.19803921568627,0.0662236363636364,0.0941503674133028,12.432,0.9112927641538,12.7546164096707,0.820713664055701,9.15533980582524,0.000542847753899336,0.5979,0.873106267029973,0.706362153344209,0.419978517722879,0.720394736842105,0.407174887892377,3.09090909090909,0.511111111111111,0.31077694235589,0.407174887892377,0.706362153344209,Inf,4.74117647058824,9.15533980582524,1.15991823529412,750.118025751073,19.0181818181818,-0.786517193099298,250.800122624157,250.800122624157,1.87272727272727,3.09090909090909,19.0181818181818
"03",196.401,"Quercus cerris","83,199,254,290","131,207,295","-",3,35268,0.0132,0.019,0.026,0.0169,0.0384,0.1528,0.204,0.2227,0.2227,0.2424,0.134,0.0611,4831493.74258821,2864591.39278983,196.400558707695,2020-08-28,241,0.858931552587646,0.38878842676311,0.420438001996177,13.1775147928994,2.63008468122982,0.597417417417417,0.38999098298964,0.310548,0.408506908037304,0.0432170414201183,0.388185,0.408506908037304,0.43542654028436,0.212121212121212,0.248668348752453,-3061.65807876334,0.15140617,-0.03384569,5.87692307692308,3.97916666666667,0.0475949112426036,0.0796677663807529,8.518,0.874373956594324,12.4198717948718,0.790912746280659,7.56538461538461,0.000604392418775122,0.4679,0.824949916527546,0.569415081042988,0.373654536135315,0.70585982382229,0.248668348752453,2.27218934911243,0.38878842676311,0.137094715343375,0.248668348752453,0.569415081042988,Inf,4.3125,7.56538461538461,0.744502083333333,748.079108391608,13.1775147928994,-0.876622470125639,262.784090909091,262.784090909091,1.53846153846154,2.27218934911243,13.1775147928994
"04",199.188,"Quercus cerris","83,199,254,290","131,207,295","-",4,35266,0.014,0.0187,0.0268,0.017,0.0374,0.1709,0.2247,0.253,0.253,0.267,0.135,0.057,4831456.8837614,2864591.58094102,199.187810994221,2020-08-28,241,0.874074074074074,0.375,0.454182211762506,14.8823529411765,2.85776527813402,0.636651162790697,0.444764700269421,0.355128,0.467414514885436,0.040216,0.44391,0.467414514885435,0.485696645400288,0.223744292237443,0.304123711340206,-2906.42480322057,0.17383842,-0.02221683,6.37686567164179,4.56951871657754,0.047208,0.0741504967855056,9.626,0.885185185185185,10.5754649213824,0.8084345961401,8.44029850746269,0.00043425578443143,0.517,0.842666666666667,0.632258064516129,0.40625,0.742424242424243,0.304123711340206,2.2,0.375,0.196217494089835,0.304123711340206,0.632258064516129,Inf,5.00802139037433,8.44029850746269,0.949089037433155,746.876404494382,14.8823529411765,-0.846653316515341,297.275280898876,297.275280898876,1.57647058823529,2.2,14.8823529411765
"05",199.002,"Carpinus betulus","83,199,254,290","131,207,295","-",5,37640,0.0121,0.0186,0.0317,0.018,0.0548,0.2183,0.2899,0.3071,0.3071,0.2946,0.1464,0.0614,4831620.15384711,2864450.84181864,199.00179189293,2020-08-28,241,0.889264841587204,0.505494505494505,0.507036947078673,17.0611111111111,3.13050978828414,0.691313131313131,0.536525777280983,0.437676,0.566136800370219,0.0979702222222222,0.547095,0.566136800370219,0.566596111633741,0.275653923541247,0.354355016538038,-3122.09700437342,0.2114146,-0.01263015,6.88643533123028,3.98357664233577,0.068204,0.0986586206896552,12.566,0.907413103660412,13.2975661424394,0.812868949232586,8.68769716088328,0.0001273292173805,0.5712,0.860439864657029,0.666757123473541,0.409047160731473,0.697153909919867,0.354355016538038,3.04444444444444,0.505494505494505,0.260932046807637,0.354355016538038,0.666757123473541,Inf,4.29014598540146,8.68769716088328,1.08313448905109,748.400611620795,17.0611111111111,-0.79314403564679,249.793577981651,249.793577981651,1.76111111111111,3.04444444444444,17.0611111111111
"06",201.739,"Carpinus betulus","83,199,254,290","131,207,295","-",6,38318,0.0124,0.0175,0.0313,0.0153,0.0546,0.2222,0.3024,0.3352,0.3352,0.3124,0.146,0.0593,4831652.70542044,2864406.9284172,201.739473861815,2020-08-28,241,0.912696148359487,0.562231759656652,0.540343870012606,21.9084967320261,3.6806513149375,0.726903036238981,0.594868895063498,0.485616,0.640745090057857,0.123617254901961,0.60702,0.640745090057857,0.617210109974918,0.343347639484979,0.393183707398171,-3433.48448687351,0.23336439,-0.00294493000000002,7.09904153354633,4.06959706959707,0.0680105882352941,0.0935621188036069,13.054,0.920970042796006,13.6338634741191,0.829195088676671,9.70926517571885,0.000432908087167954,0.6095,0.887854493580599,0.69936628643853,0.422308816366293,0.719856336582863,0.393183707398171,3.56862745098039,0.562231759656652,0.373207701761573,0.393183707398171,0.69936628643853,Inf,4.53846153846154,9.70926517571885,1.16838131868132,750.150656324582,21.9084967320261,-0.765350860186415,239.662887828162,239.662887828162,2.04575163398693,3.56862745098039,21.9084967320261
"07",199.619,"Fraxinus angustifolia","83,199,254,290","131,207,295","-",7,37636,0.0125,0.0191,0.0302,0.0182,0.0472,0.1821,0.2466,0.2591,0.2591,0.2747,0.1223,0.056,4831536.90426905,2864448.82621867,199.619340886907,2020-08-28,241,0.868734222863325,0.443425076452599,0.457469205835513,14.2362637362637,2.77309736639061,0.639021266864852,0.451800780996762,0.365616,0.475220647347664,0.0663912087912088,0.45702,0.475220647347664,0.491612587241337,0.247933884297521,0.358678552700577,-3136.91468180813,0.17599743,-0.00952507000000002,6.02980132450331,3.85805084745763,0.0605472527472527,0.0947499807702925,10.314,0.889289578074288,11.9261421034908,0.791220186657449,7.5794701986755,0.000223895045501891,0.5312,0.83641904075009,0.644557283402095,0.371845204711161,0.691805419523343,0.358678552700577,2.59340659340659,0.443425076452599,0.174790296984811,0.358678552700577,0.644557283402095,Inf,4.22457627118644,7.5794701986755,0.881178813559322,749.373610081542,14.2362637362637,-0.840619922554192,242.761304670126,242.761304670126,1.65934065934066,2.59340659340659,14.2362637362637
"09",201.425,"Quercus robur","83,199,254,290","131,207,295","-",8,30245,0.0148,0.0198,0.0329,0.0179,0.0539,0.2173,0.2882,0.3293,0.3293,0.3361,0.1387,0.0537,4832426.37328814,2864886.64992896,201.425297672938,2020-08-28,241,0.896889400921659,0.501392757660167,0.528480235625709,18.3966480446927,3.28913138580444,0.712192429022082,0.574469683907114,0.471816,0.60697632790398,0.0957553072625698,0.58977,0.60697632790398,0.604331625523987,0.295275590551181,0.407264957264957,-2871.98422412621,0.22833502,0.00431289999999999,6.6048632218845,4.03153988868275,0.070059217877095,0.0983711915799132,12.564,0.90581797235023,11.8422610823827,0.818332413031474,9.00911854103344,0.000377449643870071,0.6543,0.869360599078341,0.719582245430809,0.441787941787942,0.718684759916493,0.407264957264957,3.01117318435754,0.501392757660167,0.29569152075546,0.407264957264957,0.719582245430809,Inf,4.3469387755102,9.00911854103344,1.08972523191095,748.269583843329,18.3966480446927,-0.771186437952116,253.607711138311,253.607711138311,1.83798882681564,3.01117318435754,18.3966480446927
