ID,Name,Refl_file,Specular,m_d_tot,m_d,m_w_tot,V_tot,SMCv,SMCg,Clay,Silt,Sand,Density,OM,L,eps,d,K,a,psi,Slope,Intercept
1,Ithaca soil,phil14_046.csv,0,57.34,26.94,66.13,24.50,35.88,32.63,192,770,38,0.95,53,0.0031,1.00,0.0717,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_047.csv,0,57.34,26.94,66.02,24.50,35.43,32.22,192,770,38,0.95,53,0.0030,1.00,0.0690,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_048.csv,0,57.34,26.94,65.92,24.50,35.02,31.85,192,770,38,0.95,53,0.0035,0.92,0.0874,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_049.csv,0,57.34,26.94,65.81,24.50,34.57,31.44,192,770,38,0.95,53,0.0028,1.00,0.0654,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_050.csv,0,57.34,26.94,65.70,24.50,34.12,31.03,192,770,38,0.95,53,0.0028,1.00,0.0614,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_051.csv,0,57.34,26.94,65.60,24.50,33.71,30.66,192,770,38,0.95,53,0.0026,1.00,0.0624,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_052.csv,0,57.34,26.94,65.49,24.50,33.27,30.25,192,770,38,0.95,53,0.0026,0.99,0.0608,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_053.csv,0,57.34,26.94,65.39,24.50,32.86,29.88,192,770,38,0.95,53,0.0025,1.00,0.0525,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_054.csv,0,57.34,26.94,65.29,24.50,32.45,29.51,192,770,38,0.95,53,0.0024,1.00,0.0511,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_055.csv,0,57.34,26.94,65.18,24.50,32.00,29.10,192,770,38,0.95,53,0.0023,1.00,0.0470,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_056.csv,0,57.34,26.94,65.07,24.50,31.55,28.69,192,770,38,0.95,53,0.0022,1.00,0.0424,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_057.csv,0,57.34,26.94,64.97,24.50,31.14,28.32,192,770,38,0.95,53,0.0025,0.94,0.0550,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_058.csv,0,57.34,26.94,64.87,24.50,30.73,27.95,192,770,38,0.95,53,0.0023,0.94,0.0508,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_059.csv,0,57.34,26.94,64.76,24.50,30.29,27.54,192,770,38,0.95,53,0.0022,0.93,0.0480,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_060.csv,0,57.34,26.94,64.65,24.50,29.84,27.13,192,770,38,0.95,53,0.0020,0.93,0.0476,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_061.csv,0,57.34,26.94,64.55,24.50,29.43,26.76,192,770,38,0.95,53,0.0027,0.83,0.0676,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_062.csv,0,57.34,26.94,64.45,24.50,29.02,26.39,192,770,38,0.95,53,0.0119,0.45,0.1213,41.87,7.35,910.85,1.1161,0.0156
