wavelength,Refrac_leafm,SC_chl,SC_car,SC_Anth,SC_Brwon,SC_Cw,SC_Cm,direct_light,diffuse_light,dry_soil,wet_soil
478,1.4912,3.75E-02,1.34E-01,5.62E-02,4.42E-01,1.48E-04,2.91E+00,1.18E+00,2.60E+00,2.26E-01,2.45E-02
479,1.4911,3.71E-02,1.34E-01,5.66E-02,4.41E-01,1.50E-04,2.87E+00,1.19E+00,2.60E+00,2.26E-01,2.44E-02
480,1.491,3.68E-02,1.33E-01,5.72E-02,4.40E-01,1.52E-04,2.80E+00,1.20E+00,2.59E+00,2.27E-01,2.42E-02
481,1.4909,3.63E-02,1.33E-01,5.77E-02,4.39E-01,1.54E-04,2.78E+00,1.19E+00,2.58E+00,2.27E-01,2.42E-02
482,1.4907,3.58E-02,1.32E-01,5.83E-02,4.38E-01,1.57E-04,2.75E+00,1.19E+00,2.57E+00,2.27E-01,2.42E-02
483,1.4906,3.52E-02,1.31E-01,5.88E-02,4.36E-01,1.60E-04,2.73E+00,1.19E+00,2.55E+00,2.27E-01,2.42E-02
484,1.4904,3.46E-02,1.30E-01,5.95E-02,4.35E-01,1.62E-04,2.70E+00,1.19E+00,2.54E+00,2.28E-01,2.42E-02
485,1.4903,3.39E-02,1.29E-01,6.01E-02,4.34E-01,1.64E-04,2.68E+00,1.19E+00,2.52E+00,2.28E-01,2.42E-02
486,1.4902,3.32E-02,1.28E-01,6.07E-02,4.32E-01,1.67E-04,2.66E+00,1.19E+00,2.51E+00,2.28E-01,2.42E-02
487,1.49,3.24E-02,1.26E-01,6.12E-02,4.31E-01,1.70E-04,2.63E+00,1.19E+00,2.49E+00,2.28E-01,2.42E-02
488,1.4899,3.15E-02,1.25E-01,6.18E-02,4.30E-01,1.74E-04,2.61E+00,1.19E+00,2.48E+00,2.29E-01,2.42E-02
489,1.4897,3.06E-02,1.23E-01,6.24E-02,4.29E-01,1.78E-04,2.59E+00,1.19E+00,2.46E+00,2.29E-01,2.42E-02
490,1.4896,2.97E-02,1.21E-01,6.29E-02,4.27E-01,1.81E-04,2.57E+00,1.19E+00,2.45E+00,2.29E-01,2.42E-02
491,1.4895,2.87E-02,1.19E-01,6.34E-02,4.26E-01,1.85E-04,2.55E+00,1.19E+00,2.43E+00,2.29E-01,2.45E-02
492,1.4893,2.77E-02,1.17E-01,6.40E-02,4.25E-01,1.89E-04,2.54E+00,1.19E+00,2.42E+00,2.30E-01,2.48E-02
493,1.4892,2.66E-02,1.14E-01,6.45E-02,4.23E-01,1.93E-04,2.52E+00,1.19E+00,2.40E+00,2.30E-01,2.51E-02
494,1.489,2.56E-02,1.12E-01,6.50E-02,4.22E-01,1.98E-04,2.50E+00,1.19E+00,2.39E+00,2.31E-01,2.54E-02
495,1.4889,2.45E-02,1.10E-01,6.54E-02,4.21E-01,2.03E-04,2.49E+00,1.18E+00,2.37E+00,2.31E-01,2.57E-02
496,1.4887,2.34E-02,1.08E-01,6.59E-02,4.20E-01,2.09E-04,2.47E+00,1.18E+00,2.36E+00,2.31E-01,2.57E-02
497,1.4885,2.23E-02,1.06E-01,6.64E-02,4.18E-01,2.16E-04,2.46E+00,1.18E+00,2.35E+00,2.32E-01,2.57E-02
498,1.4884,2.12E-02,1.04E-01,6.69E-02,4.17E-01,2.23E-04,2.44E+00,1.18E+00,2.33E+00,2.32E-01,2.57E-02
499,1.4882,2.01E-02,1.01E-01,6.73E-02,4.16E-01,2.30E-04,2.43E+00,1.18E+00,2.32E+00,2.33E-01,2.57E-02
500,1.488,1.90E-02,9.90E-02,6.78E-02,4.14E-01,2.38E-04,2.42E+00,1.18E+00,2.30E+00,2.33E-01,2.56E-02
501,1.4878,1.80E-02,9.67E-02,6.81E-02,4.14E-01,2.46E-04,2.41E+00,1.18E+00,2.29E+00,2.34E-01,2.56E-02
502,1.4876,1.69E-02,9.45E-02,6.85E-02,4.13E-01,2.55E-04,2.39E+00,1.18E+00,2.28E+00,2.35E-01,2.56E-02
503,1.4875,1.59E-02,9.22E-02,6.88E-02,4.12E-01,2.64E-04,2.38E+00,1.18E+00,2.27E+00,2.35E-01,2.56E-02
504,1.4873,1.49E-02,8.99E-02,6.91E-02,4.11E-01,2.73E-04,2.37E+00,1.18E+00,2.26E+00,2.36E-01,2.56E-02
505,1.4871,1.40E-02,8.75E-02,6.94E-02,4.10E-01,2.82E-04,2.37E+00,1.18E+00,2.25E+00,2.37E-01,2.56E-02
506,1.4869,1.30E-02,8.52E-02,6.96E-02,4.09E-01,2.91E-04,2.36E+00,1.18E+00,2.23E+00,2.37E-01,2.57E-02
507,1.4867,1.22E-02,8.29E-02,6.98E-02,4.08E-01,3.00E-04,2.35E+00,1.18E+00,2.22E+00,2.38E-01,2.58E-02
508,1.4865,1.13E-02,8.06E-02,7.01E-02,4.07E-01,3.10E-04,2.34E+00,1.18E+00,2.21E+00,2.38E-01,2.58E-02
509,1.4863,1.05E-02,7.83E-02,7.03E-02,4.07E-01,3.19E-04,2.33E+00,1.18E+00,2.20E+00,2.39E-01,2.59E-02
510,1.4861,9.70E-03,7.59E-02,7.05E-02,4.06E-01,3.29E-04,2.33E+00,1.18E+00,2.19E+00,2.39E-01,2.60E-02
511,1.4859,8.95E-03,7.36E-02,7.07E-02,4.05E-01,3.39E-04,2.32E+00,1.18E+00,2.18E+00,2.40E-01,2.60E-02
512,1.4856,8.25E-03,7.13E-02,7.09E-02,4.04E-01,3.49E-04,2.32E+00,1.18E+00,2.17E+00,2.40E-01,2.60E-02
513,1.4854,7.58E-03,6.90E-02,7.10E-02,4.03E-01,3.59E-04,2.31E+00,1.18E+00,2.16E+00,2.41E-01,2.60E-02
514,1.4851,6.96E-03,6.67E-02,7.12E-02,4.02E-01,3.68E-04,2.31E+00,1.18E+00,2.15E+00,2.41E-01,2.60E-02
515,1.4849,6.39E-03,6.44E-02,7.13E-02,4.01E-01,3.77E-04,2.31E+00,1.19E+00,2.14E+00,2.41E-01,2.60E-02
516,1.4846,5.87E-03,6.22E-02,7.14E-02,4.00E-01,3.86E-04,2.30E+00,1.19E+00,2.12E+00,2.42E-01,2.60E-02
517,1.4844,5.40E-03,5.99E-02,7.15E-02,3.99E-01,3.96E-04,2.30E+00,1.19E+00,2.11E+00,2.42E-01,2.60E-02
518,1.4841,4.99E-03,5.76E-02,7.16E-02,3.98E-01,4.04E-04,2.30E+00,1.19E+00,2.10E+00,2.43E-01,2.60E-02
519,1.4839,4.63E-03,5.54E-02,7.16E-02,3.97E-01,4.07E-04,2.30E+00,1.19E+00,2.09E+00,2.43E-01,2.60E-02
520,1.4836,4.33E-03,5.32E-02,7.17E-02,3.96E-01,4.09E-04,2.30E+00,1.19E+00,2.08E+00,2.44E-01,2.60E-02
521,1.4833,4.09E-03,5.10E-02,7.17E-02,3.95E-01,4.14E-04,2.30E+00,1.19E+00,2.08E+00,2.44E-01,2.60E-02
522,1.483,3.89E-03,4.89E-02,7.18E-02,3.94E-01,4.16E-04,2.30E+00,1.20E+00,2.07E+00,2.45E-01,2.60E-02
523,1.4828,3.74E-03,4.67E-02,7.18E-02,3.93E-01,4.11E-04,2.30E+00,1.20E+00,2.07E+00,2.45E-01,2.60E-02
524,1.4825,3.65E-03,4.46E-02,7.19E-02,3.92E-01,4.09E-04,2.30E+00,1.20E+00,2.07E+00,2.46E-01,2.60E-02
525,1.4822,3.61E-03,4.25E-02,7.20E-02,3.91E-01,4.18E-04,2.30E+00,1.21E+00,2.06E+00,2.46E-01,2.60E-02
526,1.4819,3.62E-03,4.04E-02,7.21E-02,3.91E-01,4.27E-04,2.30E+00,1.21E+00,2.06E+00,2.47E-01,2.59E-02
527,1.4816,3.67E-03,3.84E-02,7.22E-02,3.90E-01,4.27E-04,2.30E+00,1.22E+00,2.06E+00,2.47E-01,2.59E-02
528,1.4813,3.77E-03,3.64E-02,7.22E-02,3.89E-01,4.23E-04,2.30E+00,1.22E+00,2.06E+00,2.48E-01,2.59E-02
529,1.481,3.90E-03,3.44E-02,7.23E-02,3.88E-01,4.24E-04,2.30E+00,1.23E+00,2.05E+00,2.48E-01,2.59E-02
530,1.4807,4.07E-03,3.25E-02,7.23E-02,3.87E-01,4.29E-04,2.30E+00,1.23E+00,2.05E+00,2.49E-01,2.59E-02
531,1.4804,4.26E-03,3.06E-02,7.24E-02,3.85E-01,4.37E-04,2.30E+00,1.24E+00,2.05E+00,2.49E-01,2.59E-02
