Cab,Car,Anth,LMA,EWT,Cbrown,Prot,CBC,N,alpha,LIDFa,LIDFb,TypeLidf,LAI,hspot,tts,tto,psi,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
8.552599408,6.863634778,2.421285652,0.034883393,0.01824346,0.999520587,0.003082852,0.030568459,1.622005957,40,86.07505887,0,2,5.109525936,0.275525566,43.1429335,14.22782615,128.6560488,0.003961498,0.005679861,0.017946831,0.016737208,0.047491522,0.073397084,0.089151876,0.102905491,0.109486563,0.116916116,0.080447871,0.054622776,0.017900748
22.14125962,8.260333508,3.881414541,0.022749102,0.024682018,0.172918137,0.003728146,0.039533308,2.216532156,40,58.82696937,0,2,4.841441493,0.197670059,62.6906264,7.111785033,35.28159314,0.013643621,0.018395296,0.057306907,0.025440882,0.112007866,0.209458425,0.229074876,0.234154576,0.236103984,0.234238356,0.149385247,0.098056932,0.025626256
19.68901877,11.74816641,1.603606578,0.018141747,0.021222229,0.142718891,0.003684592,0.030415476,1.171544435,40,31.13466844,0,2,0.137545947,0.408871412,39.65366989,9.569413784,100.0140011,0.071208801,0.07291599,0.093729558,0.103650238,0.128509581,0.153027758,0.165176953,0.178130043,0.183487673,0.202331957,0.237520749,0.243437897,0.194569646
18.77967651,3.339431394,1.493345759,0.027484172,0.038344395,0.337922248,0.004469991,0.020528678,2.939629483,40,72.46487292,0,2,1.45382654,0.154076426,18.09171322,13.38864651,111.0116414,0.030368052,0.03975194,0.067197932,0.053973621,0.101505954,0.148974235,0.164602633,0.175854482,0.180465542,0.189896558,0.159402065,0.149349595,0.099729185
38.01544987,5.269747223,0.697388187,0.024228114,0.017924772,0.803738532,0.003135311,0.021663458,1.893444301,40,68.68301039,0,2,4.617499489,0.456719763,36.95764263,7.347813647,111.8512948,0.011191924,0.013761191,0.032998158,0.013298541,0.056207791,0.148072796,0.188956108,0.213120862,0.224374615,0.235487543,0.155612121,0.109036369,0.036119423
6.727908258,8.10177479,1.336295246,0.036461221,0.039459104,0.909468026,0.002040941,0.036425168,1.649767275,40,60.4422714,0,2,4.406198286,0.085126872,65.60829146,9.975414734,108.6425979,0.011837892,0.015050298,0.04804186,0.042422852,0.101951963,0.14211543,0.164769198,0.183088982,0.191219899,0.194676249,0.096432925,0.062412138,0.01384734
7.473398184,13.69320531,1.815704107,0.036369993,0.038308577,0.457062646,0.001551864,0.023090911,2.405705204,40,53.86248903,0,2,4.986732606,0.10465421,53.610024,9.364920381,34.40351098,0.01618948,0.020705665,0.100008647,0.076765687,0.187556163,0.26168141,0.290342503,0.309456103,0.317348644,0.314321185,0.154654375,0.111552878,0.033472387
8.685846502,2.534229656,0.541946608,0.019071216,0.020528584,0.030210603,0.001573842,0.0336298,1.774921088,40,54.3551849,0,2,2.153340936,0.37762432,40.10753584,10.84862366,94.20876689,0.02738463,0.053269362,0.132825901,0.065322191,0.169262827,0.228749127,0.237660487,0.241123068,0.242438634,0.243149191,0.175718453,0.128985226,0.048364552
48.20612485,7.62604968,3.736191389,0.039412748,0.025206206,0.730702785,0.004390043,0.022181771,2.984354666,40,50.69141939,0,2,5.295554818,0.184907258,42.36580985,5.846906657,97.47709025,0.016781482,0.021959239,0.053878433,0.020396168,0.098153249,0.246511791,0.305753322,0.334456156,0.347347167,0.355708086,0.222119291,0.161173591,0.056443241
31.84679919,11.66151367,0.33361848,0.029905525,0.015481965,0.241542765,0.00420416,0.03755166,2.484231452,40,44.314,0,2,0.554644566,0.410338683,30.14089968,3.261475204,65.11392424,0.050899657,0.055128912,0.097991315,0.077356412,0.131574426,0.193050167,0.210446486,0.222266045,0.227165156,0.241830669,0.249547492,0.227685101,0.150843104
10.62487387,5.609249918,1.648270139,0.019010267,0.039510711,0.353565149,0.001680848,0.019403298,2.443952661,40,31.43204954,0,2,1.365181583,0.275485657,30.94166213,4.385010519,78.66842438,0.035819757,0.05253804,0.133065723,0.090014313,0.218406861,0.304428003,0.330033607,0.346235657,0.352683184,0.35517611,0.218411296,0.177326803,0.078790997
9.003072609,9.64739844,2.670323773,0.02498976,0.029066977,0.5594796,0.002161652,0.029053182,1.327376778,40,80.29874864,0,2,2.738148522,0.014592224,40.34259617,0.304099722,36.32150742,0.012221487,0.013861609,0.029612421,0.028735586,0.061456316,0.08788338,0.100185563,0.110320699,0.114696685,0.121361264,0.088608306,0.073643466,0.040353133
49.03858352,6.014156505,0.790185808,0.0181934,0.032060594,0.828548638,0.002287902,0.016373114,1.757981509,40,42.35328009,0,2,2.64856763,0.454960413,55.15460973,14.16664966,116.3653845,0.018368534,0.020181538,0.04309986,0.018495733,0.072279538,0.220912498,0.286575971,0.321385675,0.33712287,0.347322159,0.184336515,0.134821359,0.041676353
6.725493002,7.190818614,1.991677645,0.027915666,0.023064731,0.867709982,0.003950586,0.020785283,2.969030993,40,30.28636996,0,2,2.626351574,0.286334961,20.00564628,14.59754859,58.35558249,0.035301158,0.052366814,0.136299551,0.133650007,0.262252195,0.342616732,0.387211696,0.424267435,0.440861634,0.457095347,0.320934526,0.24495304,0.097285821
37.42377054,11.05781537,3.070768386,0.015510428,0.025510787,0.433880063,0.00338937,0.01314391,1.671408131,40,49.67734696,0,2,0.385170543,0.17602034,23.30962345,14.29348569,88.64243341,0.05930229,0.061332584,0.081616365,0.08578375,0.120013436,0.175344793,0.195816211,0.210969919,0.217271499,0.234511261,0.238870551,0.234892967,0.171523408
47.27247761,11.18593915,2.961264572,0.00214007,0.022016687,0.616337159,0.00185701,0.024593033,2.859828556,40,35.40703928,0,2,0.827032441,0.377194266,38.9033362,6.221765927,85.17042939,0.039281556,0.043160338,0.077416217,0.055797588,0.121135183,0.226410291,0.260673847,0.278757001,0.286378889,0.300013434,0.260184292,0.22686324,0.128991124
29.18906275,14.06048874,3.960804416,0.019237198,0.019796188,0.64825881,0.003914269,0.032130076,1.615696378,40,30.07857366,0,2,6.589474974,0.047705263,62.94135157,13.30007114,80.32613519,0.018130965,0.018428314,0.042366238,0.020180489,0.091935667,0.207041246,0.246622284,0.267292241,0.276264093,0.282429907,0.185192688,0.118471663,0.028665154
18.36141104,6.446746556,3.866735566,0.038003515,0.03677205,0.449925259,0.001520749,0.023498054,1.187052477,40,50.82362815,0,2,0.354629813,0.135110476,61.76593164,12.42922001,51.53426022,0.051581902,0.053504755,0.071450644,0.075316658,0.113290068,0.150006926,0.164968576,0.178298033,0.183788112,0.198636706,0.194875255,0.190761151,0.136587657
36.73017764,3.0310179,2.057861945,0.011998048,0.037093208,0.875928957,0.003494786,0.013430021,2.719437077,40,51.25502532,0,2,5.217617585,0.152227141,16.17696396,1.579332413,89.87525364,0.019597975,0.031005248,0.067405521,0.026592803,0.121678846,0.27819978,0.348914232,0.393934053,0.415220904,0.425847299,0.215117413,0.162688884,0.05668117
8.932165354,14.08702315,3.666511962,0.005005272,0.035560877,0.015365002,0.004422406,0.037345582,1.166718744,40,83.7249739,0,2,1.79650766,0.170811073,32.93265897,11.73396006,70.74814126,0.024214032,0.026460663,0.048335057,0.050470584,0.085262257,0.108413381,0.115762123,0.122513761,0.125292825,0.133738406,0.123581253,0.116336258,0.083154613
47.11380668,13.28675292,1.937563081,0.038103897,0.025043168,0.481285701,0.003436956,0.022836926,1.660588809,40,79.71884864,0,2,5.710338508,0.045938586,65.91021388,3.430369003,128.0802569,0.003685205,0.003768023,0.012281485,0.003431648,0.022736035,0.085119072,0.112122177,0.122383041,0.126860044,0.128135152,0.06655064,0.044323093,0.011677236
20.01431023,14.18450586,3.339488789,0.018579012,0.022700687,0.578929464,0.001952232,0.019829266,1.457079266,40,75.85013336,0,2,0.294743577,0.238598027,57.58183155,13.78221487,31.51708255,0.060800612,0.062105945,0.077805328,0.088992427,0.112650083,0.137422965,0.150837325,0.164535227,0.170265154,0.188353215,0.214981881,0.219064033,0.170125087
26.11433752,9.358715315,2.47833354,0.009493201,0.033648829,0.719858817,0.00202256,0.030458597,1.738560003,40,33.00601676,0,2,4.197840601,0.455993346,41.03922284,5.958779587,87.12081888,0.022406141,0.025128257,0.063473134,0.029354611,0.124332987,0.250531184,0.294991945,0.320584284,0.331588697,0.33652325,0.187041614,0.127427929,0.032837781
29.46140451,3.602591847,3.008850286,0.017450332,0.035173792,0.037303637,0.002403536,0.013234791,1.604286851,40,51.35583276,0,2,6.483831812,0.076028694,69.58691619,8.695538775,111.9256038,0.014051104,0.020158327,0.056504204,0.016505862,0.10792142,0.328964424,0.38799525,0.390447648,0.390620641,0.368508651,0.149881807,0.107243336,0.0293834
6.153422307,13.16564548,2.878964924,0.012652843,0.020044549,0.517395593,0.003750478,0.014763625,2.561251003,40,87.59099374,0,2,0.897549131,0.226133469,23.69607467,10.05243123,73.22662752,0.046069535,0.049318858,0.068458019,0.084360547,0.106439728,0.12401821,0.136388801,0.150072007,0.155863625,0.174267679,0.202050589,0.207276928,0.162105807
25.78752678,13.34234619,2.952328607,0.004380603,0.016243144,0.663497939,0.004999172,0.023021035,2.882464852,40,43.8511042,0,2,5.308886659,0.101847387,56.5904219,2.14256887,72.33601076,0.017043992,0.021386741,0.072097177,0.033166488,0.134120237,0.260247602,0.306525203,0.333183513,0.345093542,0.35516868,0.253189634,0.178563139,0.062635069
18.42488216,13.34802833,2.384936731,0.026168805,0.014424654,0.487916886,0.003153652,0.010301138,2.394873716,40,32.06814426,0,2,0.901708532,0.201844814,32.88526414,12.21945408,86.4906815,0.036176762,0.040317548,0.098849225,0.067788321,0.169551192,0.267620609,0.299321994,0.320068932,0.328832253,0.343669503,0.29851244,0.260291387,0.142730734
42.42060953,15.46054139,3.265869263,0.012884784,0.017782686,0.19076605,0.003097257,0.027442113,2.647007999,40,33.26788103,0,2,4.936219447,0.440284202,73.13632114,4.620908709,99.52391264,0.01826015,0.02067843,0.071682378,0.023234349,0.122162527,0.314086494,0.365499915,0.375848535,0.379989123,0.380793346,0.269915896,0.194184016,0.066705169
9.13195379,14.69797927,0.108448511,0.013129936,0.028756729,0.364792604,0.001539366,0.031929083,2.165477361,40,75.12067154,0,2,0.489580199,0.328648144,59.28861519,10.31598506,51.64625045,0.044619432,0.046197779,0.077569509,0.075908815,0.106792036,0.127677285,0.138559532,0.149782856,0.154420632,0.168817075,0.179310034,0.176263036,0.126797202
47.55139696,7.030435493,2.010539547,0.038241841,0.038432381,0.897277103,0.002436999,0.030472895,2.805267129,40,40.97211059,0,2,0.980193593,0.489291195,37.63145473,9.481814975,46.90487087,0.035903544,0.041224397,0.071916865,0.050907781,0.11289443,0.209409313,0.244186502,0.264876775,0.273702279,0.286454255,0.220295328,0.188909654,0.1037819
26.18864404,11.6475836,3.801825785,0.024993638,0.011501375,0.894568356,0.002627621,0.039108371,2.091971588,40,62.61623281,0,2,5.421777314,0.081351468,32.10463329,5.159020477,123.4959193,0.012018406,0.013301097,0.033012606,0.01725921,0.070447591,0.13760904,0.163723833,0.180381934,0.187910498,0.196145072,0.156767556,0.101660244,0.029264587
8.320808165,4.737324269,4.186750867,0.026982602,0.037577026,0.655582275,0.002002117,0.019225239,1.224632121,40,50.64027089,0,2,3.366391072,0.206759862,23.22444641,5.722007572,102.232447,0.019347362,0.023315612,0.047648145,0.046748927,0.139628966,0.213362926,0.248215782,0.275015852,0.286696732,0.289823574,0.130567231,0.090082929,0.024752774
46.98668606,13.28702553,2.409021037,0.001664368,0.01126459,0.911151875,0.004056921,0.021366532,1.641977182,40,61.94048943,0,2,5.826547518,0.352178517,18.56486163,5.633978457,48.02826766,0.015830701,0.01651694,0.032679306,0.016745093,0.062031126,0.18203955,0.237427306,0.269952943,0.285406614,0.303755704,0.232667575,0.158264805,0.049690525
26.48930782,13.91198599,1.800730606,0.017906904,0.010089683,0.10759525,0.002814208,0.020914898,1.3623759,40,58.89333921,0,2,5.865060663,0.48120665,64.57989096,4.657830878,102.5987605,0.012839815,0.013690281,0.058575991,0.016954706,0.100536882,0.261493471,0.300519913,0.30730607,0.310007291,0.310156001,0.228693285,0.156718553,0.049230212
