Cab,Car,Anth,LMA,EWT,Cbrown,Prot,CBC,N,alpha,LIDFa,LIDFb,TypeLidf,LAI,hspot,LAIu,sd,h,cd,tts,tto,psi,psoil,skyl,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
51.95547923,9.112833133,2.971159265,0.025075342,0.023486879,0.180162916,0.00277207,0.019237567,2.327680505,40,66.49521227,0,2,4.64479963,0.523689022,0.418966508,299.9528748,20,4.7791951,61.75832344,7.404408038,55.53335587,0,0.1,0.015588531,0.034153367,0.032699889,0.022158028,0.041585941,0.122494208,0.145376181,0.14707421,0.157078578,0.158837508,0.103319766,0.085347219,0.039269488
43.00733969,9.490492975,1.88625164,0.02699688,0.009109684,0.398764117,0.000168603,0.008533691,2.470621049,40,71.8408756,0,2,5.12953881,0.645720379,0.580310571,168.3372537,20,4.529934624,74.8553174,3.544174521,100.2948566,0,0.1,0.012734078,0.037426428,0.031174674,0.018124863,0.037226048,0.102327701,0.122830378,0.12518481,0.140106265,0.144699054,0.096765782,0.081158738,0.034776144
11.5654873,5.576552686,2.8045156,0.002566508,0.025368371,0.942564543,0.004664682,0.019407725,2.294689371,40,81.19672128,0,2,0.828031872,0.029563464,0.715540338,563.5595512,20,4.465914341,39.08116602,1.646970743,109.5113421,0,0.1,0.008662789,0.025207139,0.022666805,0.017082868,0.034962015,0.070196939,0.080890957,0.083078446,0.097656481,0.101911676,0.060958268,0.048630883,0.020394425
45.51549342,7.477831302,0.57707913,0.019468962,0.027924586,0.168967819,0.001201166,0.016619063,2.230594178,40,66.68685218,0,2,3.117167289,0.723572519,0.445716042,338.2734969,20,4.317009857,40.06472041,7.032371003,56.94294335,0,0.1,0.023992071,0.052353859,0.048273042,0.03559135,0.058176016,0.131797886,0.151466653,0.153282008,0.164842931,0.168040738,0.118999962,0.107212573,0.062020961
10.92933195,9.291102764,4.283606468,0.024263165,0.000235497,0.366903242,0.001683971,0.004514719,1.710437991,40,61.14854276,0,2,6.131536873,0.476428603,0.669430914,105.6079822,20,4.991756431,35.19429596,4.601948189,65.57517461,0,0.1,0.033182631,0.085484395,0.07095957,0.05276995,0.090091188,0.164214523,0.17980233,0.182306783,0.19996254,0.208578345,0.17998393,0.16048643,0.093791173
25.15966973,8.596619966,0.869849515,0.023240037,0.029671585,0.649229449,0.004280346,0.001375025,1.771619998,40,60.13235942,0,2,4.490362501,0.231613066,0.308695789,312.3302982,20,4.880026546,54.77508353,9.9174837,79.57234406,0,0.1,0.019682392,0.03718142,0.042127425,0.030394592,0.058354999,0.144363923,0.177678031,0.184068131,0.22739605,0.236651669,0.122143009,0.105095285,0.051589856
22.99265517,4.787937855,2.824939743,0.017646903,0.005355732,0.751689592,0.00160576,0.001645948,1.772704493,40,74.57691154,0,2,2.456802116,0.948763233,0.729448444,350.5086737,20,4.592798522,53.40917623,8.966990192,92.29070445,0,0.1,0.011957525,0.034955279,0.030144338,0.019484615,0.042528085,0.110497452,0.13627986,0.141435967,0.181390556,0.201256395,0.145746264,0.121956962,0.05683443
63.09565076,7.148074759,4.119858219,0.003556567,0.011082629,0.638312532,0.004552653,0.005938767,2.019465448,40,69.57099182,0,2,5.104751397,0.213262494,0.606086037,263.3895245,20,4.64810812,61.85844417,6.329509874,99.26719475,0,0.1,0.014507813,0.036450633,0.029919953,0.02017218,0.036796716,0.107273033,0.137176365,0.141119241,0.167648797,0.17686925,0.117492814,0.093804792,0.041660102
37.83814815,5.731541362,0.462765799,0.028237744,0.011317042,0.089391922,0.000805734,0.009394342,1.526766337,40,72.93559524,0,2,1.734015496,0.460880505,0.778725033,489.8545766,20,4.228290689,46.71307577,0.241918287,79.55189531,0,0.1,0.010430667,0.036165812,0.031103766,0.015367245,0.035451347,0.127647069,0.155724472,0.157188148,0.165423062,0.165735307,0.103083432,0.084274792,0.033234163
53.47351208,9.034763285,0.581300735,0.013732055,0.002270382,0.028333452,0.004089624,0.006101136,2.240685095,40,62.15910567,0,2,2.561103379,0.830725893,0.343538635,100.4239926,20,4.861612562,60.38296324,0.913920125,100.2091568,0,0.1,0.042787497,0.078259196,0.071307851,0.062152625,0.087047802,0.155365588,0.175925429,0.177788142,0.191535138,0.2000294,0.188244485,0.173133099,0.114864724
21.14835887,14.44871881,0.788570282,0.020603893,0.014363775,0.570770576,0.002548606,0.027707638,1.599824095,40,79.71234813,0,2,2.682660355,0.67459445,0.463208714,605.0329007,20,4.868832428,56.69161758,9.359860045,107.9858126,0,0.1,0.005093485,0.011223679,0.019406249,0.010385651,0.02841205,0.07205642,0.084226205,0.086227706,0.098098096,0.101513477,0.07111117,0.050924477,0.014468011
48.02320619,9.96655002,3.433033879,0.02437416,0.012174354,0.213031052,0.000715911,0.010529937,2.486353444,40,65.66698998,0,2,1.030086026,0.829996789,0.311094062,313.1404284,20,4.83028005,64.93064051,8.347070541,105.8977874,0,0.1,0.014844794,0.030705838,0.031688936,0.021773306,0.042749726,0.13445918,0.164064411,0.166508931,0.181211312,0.185667094,0.137670639,0.119310122,0.055629115
33.80331455,12.02191996,3.969118741,0.005528735,0.006353614,0.938167605,0.00106052,0.021296079,2.201413893,40,83.48695294,0,2,2.480421214,0.360357165,0.752739609,680.1431511,20,4.943756446,51.44264803,0.589115829,97.18902996,0,0.1,0.003568655,0.008794767,0.009695906,0.005743113,0.016086861,0.050872968,0.063915903,0.066269122,0.08177714,0.087851455,0.070392474,0.050176956,0.014580248
65.56609551,14.27083077,3.255414995,0.027643596,0.018300712,0.065137402,0.004553705,0.024902392,1.823483405,40,61.80399013,0,2,5.421541687,0.432879203,0.611506842,637.3100452,20,4.762796142,59.50298599,1.322626909,36.78177746,0,0.1,0.008795646,0.017171895,0.020754834,0.009471736,0.026366492,0.149357965,0.184229348,0.185118216,0.189424249,0.187875921,0.11758088,0.081458293,0.018579086
54.45325151,5.497705336,4.434039383,0.018376713,0.012588111,0.809996583,0.002116846,0.006012099,2.440048527,40,88.16002339,0,2,6.926545098,0.326169201,0.656072506,248.3788783,20,4.934249013,61.02575566,8.497463639,118.7094391,0,0.1,0.011710353,0.031441156,0.024927438,0.016911707,0.029871428,0.070366502,0.086403687,0.089010124,0.10869566,0.116505,0.073553289,0.062049029,0.030770939
45.49042549,3.313332154,2.540705011,0.01319984,0.002522802,0.66527369,0.002896874,0.014643909,1.504187023,40,79.97199138,0,2,6.759149722,0.296860868,0.688109526,396.4107467,20,4.845952709,59.77367244,5.972713786,80.82371787,0,0.1,0.00724888,0.020696605,0.016807892,0.010103298,0.021807305,0.071206796,0.089912453,0.09260268,0.110189037,0.117325517,0.101191538,0.071604065,0.025262324
9.824719519,7.63579652,1.283873448,0.02621181,0.019101803,0.692756587,0.004237974,0.003599169,2.293075614,40,76.75372706,0,2,4.055757545,0.19966124,0.468750566,454.7449129,20,4.572764355,38.82338094,4.252492811,66.17513322,0,0.1,0.014480893,0.032003378,0.035915158,0.02943307,0.055392499,0.108028297,0.129701836,0.134863852,0.173107216,0.185294603,0.10149319,0.084920945,0.041262081
39.57725653,13.63520026,2.090965847,0.025802149,0.018460275,0.220666471,0.000175355,0.021199427,2.065488602,40,77.97347966,0,2,6.677799038,0.420060648,0.638298789,503.3797466,20,4.271354338,66.87482927,8.834692037,40.52926247,0,0.1,0.006297247,0.016611836,0.01953386,0.00943933,0.025352282,0.090328492,0.107579105,0.108934813,0.116266887,0.11668101,0.069984712,0.054084105,0.017240557
53.95021616,5.829688417,1.111420022,0.019673887,0.024020369,0.968262449,0.002486628,0.011472839,1.698681454,40,70.7157166,0,2,3.57292262,0.893539934,0.386935013,208.5997923,20,4.831083124,41.30520036,3.267407739,52.85924448,0,0.1,0.029368917,0.055458723,0.04952731,0.042992923,0.061525439,0.110279301,0.127200964,0.130196715,0.151788654,0.161290749,0.128074032,0.119627971,0.076793756
23.61694989,6.686217794,2.063952637,0.004269064,0.016263923,0.954309352,0.002325687,0.027644582,2.432530399,40,77.03328481,0,2,5.807780197,0.543126759,0.626723083,488.4025884,20,4.501928828,72.21776051,8.38468784,105.6810286,0,0.1,0.004305733,0.012736875,0.014747978,0.008583324,0.024483296,0.062490259,0.075005507,0.077373639,0.092031974,0.096371716,0.064191925,0.045673484,0.011328629
53.05197986,8.33757718,0.01678237,0.010265609,0.025298076,0.925561417,0.000798381,0.016198726,2.181808988,40,63.05233014,0,2,4.349669355,0.286752138,0.629872138,290.4496261,20,4.45668906,64.27948183,6.731678669,68.42944496,0,0.1,0.013935886,0.037352477,0.032019312,0.019367808,0.038480021,0.104811016,0.126812156,0.130159676,0.151605898,0.157551911,0.095402611,0.078665568,0.032938543
56.43753596,11.1888985,0.489150995,0.005534768,0.01872146,0.057838694,0.002863053,0.011557472,1.810501972,40,77.6328444,0,2,6.608359511,0.465508056,0.203236025,433.454719,20,4.277988516,63.05151555,3.877448302,125.3343692,0,0.1,0.012476015,0.021552585,0.022941735,0.01721283,0.027578208,0.096127801,0.125559517,0.126762897,0.133759553,0.13392296,0.084416212,0.071605545,0.035736649
9.905943365,8.096817125,0.532368193,0.009259969,0.011497225,0.923578282,0.002735432,0.006156532,2.354197149,40,76.43839829,0,2,6.974774973,0.809695661,0.69367948,564.5752534,20,4.588339956,57.88501641,1.306868596,63.08316624,0,0.1,0.007072202,0.019828967,0.027393419,0.02082731,0.046593456,0.096548095,0.11958173,0.125293234,0.167752,0.185039819,0.114272218,0.088147964,0.031820307
30.50161642,8.849312251,3.868364401,0.011510982,0.016573911,0.785649958,0.00266337,0.003386024,2.243015273,40,75.29181353,0,2,2.636992799,0.555911904,0.12128146,696.2671574,20,4.75045199,62.21096338,3.540307661,120.1799223,0,0.1,0.005739411,0.011797932,0.016350644,0.010142795,0.031485208,0.112550762,0.151055434,0.158792282,0.216548007,0.236846731,0.124320482,0.100488141,0.035368478
53.25015033,14.1382588,2.68412417,0.017513587,0.019242987,0.527425549,0.003608667,0.021087686,2.007192747,40,71.24068275,0,2,1.799531334,0.66442115,0.179621287,283.7362789,20,4.348297769,74.94589082,4.699524648,101.2887036,0,0.1,0.013162589,0.020874391,0.02237556,0.018075913,0.029975362,0.080195605,0.096841137,0.098982987,0.112551893,0.117671514,0.089093124,0.074178679,0.03466283
42.02034068,6.776778662,2.435855539,0.022380315,0.0191496,0.179864476,0.001679443,0.028596938,1.525333795,40,81.62647028,0,2,3.338109569,0.592471469,0.132331972,342.2724911,20,4.789693924,55.05730004,2.948742083,113.4623131,0,0.1,0.017939897,0.026106606,0.026897418,0.025570838,0.035188886,0.068206664,0.077517108,0.078569883,0.085782453,0.089415403,0.078414133,0.07153025,0.046274431
28.07162948,6.18361943,0.785852169,0.018574803,0.013021421,0.163079218,0.001691422,0.028645035,1.676056068,40,79.91695751,0,2,3.302404607,0.430662803,0.74205829,446.702665,20,4.685397589,36.55689421,2.295161199,44.16722798,0,0.1,0.010277392,0.031641358,0.028394793,0.016055735,0.033611196,0.0824694,0.092031183,0.092883286,0.098224408,0.099733196,0.071019763,0.056524259,0.0246978
36.86468831,7.586219472,2.618615908,0.027620547,0.023316534,0.996829127,0.003824634,0.026059394,1.919608099,40,82.60681311,0,2,0.835211948,0.472983872,0.453122821,540.8822523,20,4.243648435,67.03216922,5.278258715,80.12879987,0,0.1,0.005689792,0.014477279,0.013274608,0.008566896,0.019172379,0.051857395,0.062326866,0.064151114,0.076034968,0.080036292,0.052128498,0.040761843,0.014980884
47.51470662,13.2696063,1.012567468,0.012467628,0.020548327,0.051279231,0.000457154,0.008253695,2.488082989,40,79.10465758,0,2,3.468691415,0.219354181,0.477453082,644.5630707,20,4.256545881,66.93214245,0.313579259,111.9622723,0,0.1,0.00443637,0.012527364,0.017042151,0.00645055,0.019758455,0.11349403,0.15388023,0.155037692,0.159839675,0.154341077,0.071209119,0.058081513,0.019702526
56.29486991,8.88095152,4.324773135,0.00180038,0.000141158,0.856484873,0.002319742,0.013997212,1.719898346,40,86.86549236,0,2,1.014842947,0.279914914,0.20120856,569.6546894,20,4.522597424,53.4757561,0.350341469,26.78279889,0,0.1,0.008045362,0.01310833,0.012812339,0.01171917,0.017847502,0.043761433,0.055568575,0.057562722,0.072075469,0.080005105,0.089731618,0.070753165,0.033031049
