Wvl	alpha
1005	0.381601
1006	0.375992
1007	0.370059
1008	0.364026
1009	0.358071
1010	0.352107
1011	0.346068
1012	0.340236
1013	0.334854
1014	0.329650
1015	0.324340
1016	0.319107
1017	0.314067
1018	0.308604
1019	0.302227
1020	0.295679
1021	0.289731
1022	0.284034
1023	0.278154
1024	0.272435
1025	0.267223
1026	0.262106
1027	0.256586
1028	0.250594
1029	0.244389
1030	0.239127
1031	0.235711
1032	0.233135
1033	0.229917
1034	0.225092
1035	0.219760
1036	0.215139
1037	0.210853
1038	0.206353
1039	0.201981
1040	0.198110
1041	0.194350
1042	0.190360
1043	0.186749
1044	0.184083
1045	0.181787
1046	0.179005
1047	0.175244
1048	0.171469
1049	0.168656
1050	0.166355
1051	0.163909
1052	0.161260
1053	0.158558
1054	0.156185
1055	0.154461
1056	0.153220
1057	0.152176
1058	0.151039
1059	0.149515
1060	0.147501
1061	0.145680
1062	0.144692
1063	0.144224
1064	0.143808
1065	0.143301
1066	0.142639
1067	0.141835
1068	0.141195
1069	0.140976
1070	0.140931
1071	0.140779
1072	0.140593
1073	0.140537
1074	0.140772
1075	0.141445
1076	0.142556
1077	0.143516
1078	0.143816
1079	0.143861
1080	0.144281
1081	0.145549
1082	0.147498
1083	0.149769
1084	0.151863
1085	0.153408
1086	0.154668
1087	0.156068
1088	0.157959
1089	0.160397
1090	0.163242
1091	0.165862
1092	0.167737
1093	0.169283
1094	0.171151
1095	0.173900
1096	0.177718
1097	0.182401
1098	0.186550
1099	0.188989
1100	0.190625
1101	0.192890
1102	0.196649
1103	0.200515
1104	0.203082
1105	0.205116
1106	0.207925
1107	0.212258
1108	0.216622
1109	0.219545
1110	0.221887
1111	0.225086
1112	0.229821
1113	0.233714
1114	0.234603
1115	0.234236
1116	0.235338
1117	0.239658
1118	0.245033
1119	0.249130
1120	0.252833
1121	0.257829
1122	0.264990
1123	0.271917
1124	0.276501
1125	0.281067
1126	0.289049
1127	0.302304
1128	0.316387
1129	0.327125
1130	0.337746
1131	0.353325
1132	0.376946
1133	0.403721
1134	0.428144
1135	0.450198
1136	0.471239
1137	0.493191
1138	0.520245
1139	0.557157
1140	0.605237
1141	0.651997
1142	0.686262
1143	0.715900
1144	0.753543
1145	0.806361
1146	0.859689
1147	0.898138
1148	0.925253
1149	0.949313
1150	0.976919
1151	1.007962
1152	1.040653
1153	1.072706
1154	1.099830
1155	1.118595
1156	1.131005
1157	1.140423
1158	1.149678
1159	1.159472
1160	1.169972
1161	1.180825
1162	1.189588
1163	1.194173
1164	1.195987
1165	1.197311
1166	1.199828
1167	1.202826
1168	1.204994
1169	1.205734
1170	1.207295
1171	1.212639
1172	1.222912
1173	1.231997
1174	1.234037
1175	1.231481
1176	1.228854
1177	1.229592
1178	1.232774
1179	1.236386
1180	1.238943
1181	1.241060
1182	1.243879
1183	1.248066
1184	1.252392
1185	1.255546
1186	1.257799
1187	1.259813
1188	1.262110
1189	1.264637
1190	1.267197
1191	1.269647
1192	1.272056
1193	1.274544
1194	1.277164
1195	1.279696
1196	1.281854
1197	1.283180
1198	1.282544
1199	1.278646
1200	1.271459
1201	1.266054
1202	1.266899
1203	1.270962
1204	1.273336
1205	1.270539
1206	1.264797
1207	1.259760
1208	1.258015
1209	1.257887
1210	1.256637
1211	1.252430
1212	1.247046
1213	1.243169
1214	1.242471
1215	1.242578
1216	1.240102
1217	1.232883
1218	1.223669
1219	1.216433
1220	1.213932
1221	1.214048
1222	1.213447
1223	1.209766
1224	1.204525
1225	1.200217
1226	1.198574
1227	1.198287
1228	1.197284
1229	1.194047
1230	1.189260
1231	1.184158
1232	1.179671
1233	1.175513
1234	1.171096
1235	1.166115
1236	1.161407
1237	1.158097
1238	1.156845
1239	1.156461
1240	1.155295
1241	1.152131
1242	1.147507
1243	1.142397
1244	1.137615
1245	1.133332
1246	1.129561
1247	1.126251
1248	1.123107
1249	1.119773
